KodZboziKo,C31,1;KodZbozi,C15,2;KodPodskla,N11/0,3;KodZboziVB,C15,4;NazevVar,C250,5;TypZbozi,N11/0,6;SazbaDPH,N11/0,7;NCBD,N11/2,8;Mn,N11/2,9;BarCode,C20,10;BarCodeBal,C20,11;jednotka,C5,12;BalZakl,N11/0,13;BalZaklK,N11/0,14;BalPal,N11/2,15;BaleniZakl,N11/0,16;BaleniPal,N11/0,17;BaleniAlt,N11/0,18;HmotnostCe,N11/2,19;ObjemCelke,N11/2,20;InvMn,N11/0,21;cProvozovn,N11/0,22;VUPoznamka,C20,23;Import,L,24;KodCenSkup,N11/0,25;KodSlevSku,N11/0,26;KodSortime,C15,27;KodVyrobce,C15,28;PCA,N11/2,29;PCASD,N11/2,30;PCB,N11/2,31;PCBSD,N11/2,32;PCC,N11/2,33;PCCSD,N11/2,34;PCD,N11/2,35;PCDSD,N11/2,36;KC,N11/2,37;KCSD,N11/2,38;VUDodcislo,C40,39;VUDodavate,C40,40;VUMaterial,C30,41;VUNostnost,C30,42;VUSklmisto,C20,43;VUNetto301,N11/0,44;VUPuvodniz,C10,45;VUVolnaZ53,C20,46;Cislo,C15,47;dPohybu,D,48;dZaloz,D,49$
B475-P.01;B475-P;1;;Zásuvka pod postel - masiv smrk;ZB;21;604.80;1.00;;;ks;1;1;0.00;1;0;0;10.50;0.03;0;1;;0;1;0;13.2.3;72;1049.00;1269.29;1122.43;1358.14;1247.93;1510.00;1468.60;1777.01;0.00;0.00;;;;;KOJE-EXPEDICE;10;;B;26/15;301215;301215;
B475-W.02;B475-W;2;;Zásuvka pod postel - masiv smrk;ZB;21;662.70;1.00;;;ks;1;1;0.00;1;0;0;10.30;0.03;0;1;;0;1;0;13.2.3;72;1258.80;1523.15;1346.92;1629.77;1498.35;1813.00;1762.32;2132.41;0.00;0.00;;;;;;10;;B;26/15;301215;301215;
B476-ROMANTIK.04;B476-ROMANTIK;4;;Postel 90x200cm, masiv smrk,olše+srdce;ZB;21;2007.41;1.00;;;ks;1;1;0.00;1;0;0;31.00;0.09;0;1;;0;1;0;13.2.3.1;72;3015.00;3648.15;3226.05;3903.52;3587.60;4341.00;4220.66;5107.00;0.00;0.00;;;;;;30;;B;26/15;301215;301215;
B480-P.01;B480-P;1;;Postel 200x200cm, masiv smrk;ZB;21;2785.92;2.00;;;ks;2;2;0.00;1;0;0;0.00;0.00;0;1;;0;1;0;13.2.3.2;0;4229.00;5117.09;4525.03;5475.29;5032.23;6089.00;0.00;0.00;0.00;0.00;;;;;;0;;;26/15;301215;301215;
B482-P.01;B482-P;1;;Postel 90x200cm, masiv smrk;ZB;21;939.36;5.00;;;ks;5;5;0.00;1;0;0;105.00;0.38;0;1;;0;1;0;13.2.3.1;72;1273.00;1540.33;1362.11;1648.15;1514.88;1833.00;1781.82;2156.00;0.00;0.00;;;;;KOJE-EXPEDICE;20;;B;26/15;301215;301215;
B483-P.01;B483-P;1;;Postel 90x200cm, masiv smrk;ZB;21;926.50;1.00;;;ks;1;1;0.00;1;0;0;28.50;0.11;0;1;;0;1;0;13.2.3.1;72;1763.00;2133.23;1886.41;2282.56;2098.35;2539.00;2468.60;2987.01;0.00;0.00;;;;;KOJE-EXPEDICE;27;;B;26/15;301215;301215;
B487-P.04;B487-P;4;;Postel 180x200cm, masiv smrk;ZB;21;2367.71;1.00;;;ks;1;1;0.00;1;0;0;0.00;0.00;0;1;;0;1;0;;0;3593.00;4347.53;3844.51;4651.86;4276.03;5174.00;0.00;0.00;0.00;0.00;;;;;;0;;;26/15;301215;301215;
B501-P.01;B501-P;1;;Postel BAHAMA, 120x200cm, masiv smrk;ZB;21;2419.18;1.00;;;ks;1;1;0.00;1;0;0;36.00;0.08;0;1;;0;1;0;13.2.5;72;3690.00;4464.90;3948.30;4777.44;4390.91;5313.00;5166.12;6251.01;0.00;0.00;BAHAMA/LAKIER;LOZKO 120x200;;;KOJE-EXPEDICE;34;;B;26/15;301215;301215;
B601-PZE.10;B601-PZE;10;;Postel HAPPY,90x200cm,masiv smrk-zelená;ZB;21;2264.77;1.00;;;ks;1;1;0.00;1;0;0;29.00;0.22;0;1;;0;1;0;13.2.4;72;4104.00;4965.84;4391.28;5313.45;4883.47;5909.00;5745.45;6951.99;0.00;0.00;NATUR/ZIELONA;LOZKO BABY 90x200/115x97,5x210 /;;;KOJE-EXPEDICE;27;;B;26/15;301215;301215;
B602-PZE.04;B602-PZE;4;;Bedna malá HAPPY, masiv smrk-zelená;ZB;21;295.96;1.00;;;ks;1;1;0.00;1;0;0;15.50;0.03;0;1;;0;1;0;13.2.4;72;763.35;923.65;816.78;988.30;908.26;1098.99;1068.60;1293.01;0.00;0.00;;;;;ATELIER SLOZ;15;;B;26/15;301215;301215;
B605-PZE.04;B605-PZE;4;;Regál BARBIE,masiv smrk-zelená;ZB;21;1685.71;1.00;;;ks;1;1;0.00;1;0;0;0.00;0.00;0;1;;0;1;0;;0;2963.10;3585.35;3170.52;3836.33;3526.45;4267.00;0.00;0.00;0.00;0.00;;;;;;0;;;26/15;301215;301215;
B611-PRU.10;B611-PRU;10;;Postel HAPPY,80x180cm, masiv smrk;ZB;21;2412.75;1.00;;;ks;1;1;0.00;1;0;0;27.00;0.22;0;1;;0;1;0;13.2.4;72;3848.00;4656.08;4117.36;4982.01;4579.34;5541.00;5387.60;6519.00;0.00;0.00;NATUR/ ROZOWa tkanina  wys.spania 77cm;LOZKO BABY 80x180/115x87,5x190/;;;KOJE-EXPEDICE;25;;B;26/15;301215;301215;
B702-P.01;B702-P;1;;Noční stolek 3zásuvky,smrk masiv;ZB;21;791.38;2.00;;;ks;2;2;0.00;1;0;0;17.00;0.05;0;1;;0;1;0;13.2.1.1;72;1155.00;1397.55;1235.85;1495.38;1374.38;1663.00;1617.36;1957.00;0.00;0.00;;Emil 3;;;KOJE-EXPEDICE;8;;B;26/15;301215;301215;
B708-ROMANTIK.04;B708-ROMANTIK;4;;Komoda dvířka+4zásuvky,smrk,olše+srdce;ZB;21;2438.49;1.00;;;ks;1;1;0.00;1;0;0;37.50;0.11;0;1;;0;1;0;13.2.1.1;72;3667.50;4437.68;3924.23;4748.32;4364.46;5281.00;5134.71;6213.00;0.00;0.00;;;;;;37;;B;26/15;301215;301215;
B711-OT.02;B711-OT;2;;Noční stolek, masiv smrk;ZB;21;341.00;1.00;;;ks;1;1;0.00;1;0;0;6.50;0.02;0;1;;0;1;0;13.2.1.1;72;549.60;665.02;588.07;711.56;653.72;791.00;769.44;931.02;0.00;0.00;;;;;KOJE-EXPEDICE;6;;B;26/15;301215;301215;
B711-P.01;B711-P;1;;Noční stolek, masiv smrk;ZB;21;328.13;1.00;;;ks;1;1;0.00;1;0;0;6.50;0.02;0;1;;0;1;0;13.2.1.1;72;458.00;554.18;490.06;592.97;544.63;659.00;641.32;776.00;0.00;0.00;;Komoda 0;;;KOJE-EXPEDICE;6;;B;26/15;301215;301215;
B715-L.99;B715-L;99;;Skříňka s dvířky,masiv smrk;ZB;21;1833.69;1.00;;;ks;1;1;0.00;1;0;0;26.00;0.08;0;1;;0;1;0;13.2.1.1;72;2438.10;2950.10;2608.77;3156.61;2901.65;3511.00;3413.22;4130.00;0.00;0.00;;;;;KOJE-EXPEDICE;25;;B;26/15;301215;301215;
B718-P.01;B718-P;1;;Noční stolek, masiv smrk;ZB;21;488.98;1.00;;;ks;1;1;0.00;1;0;0;9.50;0.03;0;1;;0;1;0;13.2.1.1;72;818.17;989.99;875.44;1059.28;973.55;1178.00;1145.45;1385.99;0.00;0.00;;;;;KOJE-EXPEDICE;9;;B;26/15;301215;301215;
B721-P.01;B721-P;1;;Šatní skříň 2dveřová,smrk masiv;ZB;21;2895.30;1.00;;;ks;1;1;0.00;1;0;0;54.00;0.16;0;1;;0;1;0;13.2.2.1;72;4171.65;5047.70;4463.67;5401.04;4964.46;6007.00;5840.50;7067.00;0.00;0.00;;;;;b725-p*;52;;B;26/15;301215;301215;
B721-ROMANTIK.04;B721-ROMANTIK;4;;Šatní skříň 2dveř.,smrk masiv-olše+srdce;ZB;21;3184.83;1.00;;;ks;1;1;0.00;1;0;0;54.00;0.16;0;1;;0;1;0;13.2.2.1;72;4785.00;5789.85;5119.95;6195.14;5694.21;6889.99;6699.17;8106.00;0.00;0.00;;;;;;52;;B;26/15;301215;301215;
B723-ATYP.02;B723-ATYP;2;;Šatní skříň smrk 2dveř,zasouv.dveře-P;ZB;21;4594.62;1.00;;;ks;1;1;0.00;1;0;0;72.00;0.22;0;1;;0;1;0;13.2.2.1;72;9880.00;11954.80;10571.60;12791.64;11757.02;14225.99;0.00;0.00;0.00;0.00;4 POLICZKI DO LEWEJ CZESCI,+ POPRZECZKA;szafa Alfa 2D z rozs.drzwiami,bylo foto;;;expedice/koje;70;;B;26/15;301215;301215;
B733-P.01;B733-P;1;;Noční stolek smrk 2zásuvky+otevř.prostor;ZB;21;746.34;2.00;;;ks;2;2;0.00;1;0;0;34.00;0.16;0;1;;0;1;0;13.2.1.1;72;981.75;1187.92;1050.47;1271.07;1168.60;1414.01;1374.38;1663.00;0.00;0.00;;;;;KOJE-EXPEDICE;16;;B;26/15;301215;301215;
B735-P.01;B735-P;1;;Truhlice masiv smrk;ZB;21;881.46;1.00;;;ks;1;1;0.00;1;0;0;15.00;0.06;0;1;;0;1;0;13.2.1.1;72;1564.50;1893.04;1674.02;2025.56;1861.98;2253.00;2190.08;2650.00;0.00;0.00;;;;;KOJE-EXPEDICE+atel;15;;B;26/15;301215;301215;
B736-B.02;B736-B;2;;Komoda 2+4 zásuvky,smrk masiv;ZB;21;2267.65;1.00;;;ks;1;1;0.00;1;0;0;34.00;0.09;0;1;;0;1;0;13.2.1.1;72;4340.70;5252.25;4644.55;5619.91;5165.29;6250.00;6076.86;7353.00;0.00;0.00;;;;;KOJE-EXPEDICE;33;;B;26/15;301215;301215;
B736-B.04;B736-B;4;;Komoda 2+4 zásuvky,smrk masiv;ZB;21;2267.65;1.00;;;ks;1;1;0.00;1;0;0;34.00;0.09;0;1;;0;1;0;13.2.1.1;72;4159.84;5033.41;4451.03;5385.75;4950.41;5990.00;5823.97;7047.00;0.00;0.00;;;;;prodejna,chodba,baza;33;;B;26/15;301215;301215;
B736-P.01;B736-P;1;;Komoda 2+4 zásuvky,smrk masiv;ZB;21;2020.28;2.00;;;ks;2;2;0.00;1;0;0;68.00;0.18;0;1;;0;1;0;13.2.1.1;72;3617.25;4376.87;3870.46;4683.26;4304.13;5208.00;5064.46;6128.00;0.00;0.00;;;;;KOJE-EXPEDICE;33;;B;26/15;301215;301215;
B736-P.01;B736-P;1;;Komoda 2+4 zásuvky,smrk masiv;ZB;21;2020.28;-2.00;;;ks;-2;-2;0.00;1;0;0;-68.00;-0.18;1;1;;0;1;0;13.2.1.1;72;3617.25;4376.87;3870.46;4683.26;4304.13;5208.00;5064.46;6128.00;0.00;0.00;;;;;KOJE-EXPEDICE;33;;B;28/16;140316;140316;
B737-ROMANTIK.04;B737-ROMANTIK;4;;Noční stolek smrk dvířka,olše+srdce;ZB;21;849.29;1.00;;;ks;1;1;0.00;1;0;0;9.50;0.03;0;1;;0;1;0;13.2.1.1;72;1282.76;1552.14;1372.55;1660.79;1526.45;1847.00;1795.87;2173.00;0.00;0.00;;;;;;9;;B;26/15;301215;301215;
B741-P.01;B741-P;1;;Psací stůl rohový,smrk, 3 zásuvky;ZB;21;2432.05;1.00;;;ks;1;1;0.00;1;0;0;47.50;0.12;0;1;;0;1;0;13.2;72;3561.60;4309.54;3810.92;4611.21;4238.02;5128.00;4986.78;6034.00;0.00;0.00;smrk;BIURKO ELKA;;;expedice/koje;46;;B;26/15;301215;301215;
B742-P.01;B742-P;1;;Psací stůl smrk,dvířka+1zásuvka;ZB;21;1930.20;1.00;;;ks;1;1;0.00;1;0;0;34.50;0.12;0;1;;0;1;0;13.2;72;2823.45;3416.37;3021.09;3655.52;3359.50;4065.00;3952.89;4783.00;0.00;0.00;smrk;BIURKO ADA;;;expedice/koje;33;;B;26/15;301215;301215;
B758-P.01;B758-P;1;;Policový regál masiv smrk 180x80x30;ZB;21;1518.42;1.00;;;ks;1;1;0.00;1;0;0;37.50;0.12;0;1;;0;1;0;13.2.2.1;72;2235.00;2704.35;2391.45;2893.65;2659.50;3218.00;3128.93;3786.01;0.00;0.00;;;;;expedice/koje;36;;B;26/15;301215;301215;
B758-P.04;B758-P;4;;Policový regál masiv smrk 180x80x30;ZB;21;1483.20;1.00;;;ks;1;1;0.00;1;0;0;37.50;0.12;0;1;;0;1;0;13.2.2.1;72;2235.00;2704.35;2391.45;2893.65;2659.50;3218.00;3128.93;3786.01;0.00;0.00;;;;;prodejna,chodba,baza;36;;B;26/15;301215;301215;
B759-B.04;B759-B;4;;Policový regál masiv smrk;ZB;21;3757.44;1.00;;;ks;1;1;0.00;1;0;0;37.50;0.12;0;1;;0;1;0;13.2.2.1;72;5123.25;6199.13;5481.88;6633.07;6096.69;7376.99;7172.73;8679.00;0.00;0.00;;;;;prodejna,chodba,baza;36;;B;26/15;301215;301215;
B762-P.01;B762-P;1;;Vitrína prosklená smrk +3zásuvky;ZB;21;2773.05;1.00;;;ks;1;1;0.00;1;0;0;43.50;0.14;0;1;;0;1;0;13.2.2.1;72;3647.70;4413.72;3903.04;4722.68;4340.50;5252.00;5106.61;6179.00;0.00;0.00;;witrina 3S;;;expedice/koje;42;;B;26/15;301215;301215;
B763-P.01;B763-P;1;;Vitrína prosklená, smrk 2+2dvířka;ZB;21;2659.82;2.00;;;ks;2;2;0.00;1;0;0;87.00;0.29;0;1;;0;1;0;13.2.2.1;72;3884.29;4699.99;4156.19;5028.99;0.00;0.00;0.00;0.00;0.00;0.00;;WITRINA 2D,;;;expedice/koje;42;;B;28/16;140316;140316;
B801-P.01;B801-P;1;;Noční stolek 2zásuvky,smrk  masiv;ZB;21;759.21;2.00;;;ks;2;2;0.00;1;0;0;13.00;0.03;0;1;;0;1;0;13.2.1.2;72;825.26;998.56;883.03;1068.47;981.82;1188.00;1155.37;1398.00;0.00;0.00;;;;;KOJE-EXPEDICE;6;;B;26/15;301215;301215;
B802-L.01;B802-L;1;;Noční stolek 3zásuvky,smrk masiv;ZB;21;1054.72;1.00;;;ks;1;1;0.00;1;0;0;8.50;0.03;0;1;;0;1;0;13.2.1.2;72;1099.75;1330.70;1176.73;1423.84;1309.09;1584.00;1539.67;1863.00;0.00;0.00;;Emil 3;;;koje-expedice;8;;B;26/15;301215;301215;
B802-P.01;B802-P;1;;Noční stolek 3zásuvky,smrk masiv;ZB;21;984.40;1.00;;;ks;1;1;0.00;1;0;0;8.50;0.03;0;1;;0;1;0;13.2.1.2;72;1099.75;1330.70;1176.73;1423.84;1309.09;1584.00;1539.67;1863.00;0.00;0.00;;Emil 3;;;koje-expedice;8;;B;26/15;301215;301215;
B832-P.04;B832-P;4;;Prádelník smrk 2dvířka+4 zásuvky,masiv;ZB;21;2729.09;1.00;;;ks;1;1;0.00;1;0;0;0.00;0.00;0;1;;0;1;0;;0;4649.40;5625.77;4974.86;6019.58;5533.06;6695.00;6509.16;7876.08;0.00;0.00;;;;;;0;;;26/15;301215;301215;
B833-AN.02;B833-AN;2;;Noční stolek smrk 2zásuvky+otevř.prostor;ZB;21;868.59;1.00;;;ks;1;1;0.00;1;0;0;17.00;0.08;0;1;;0;1;0;13.2.1.2;72;1178.10;1425.50;1260.57;1525.29;1401.65;1696.00;1649.34;1995.70;0.00;0.00;;;;;;16;;B;26/15;301215;301215;
B833-P.04;B833-P;4;;Noční stolek smrk 2zásuvky+otevř.prostor;ZB;21;759.21;2.00;;;ks;2;2;0.00;1;0;0;0.00;0.00;0;1;;0;1;0;13.2.1.2;0;1178.10;1425.50;1260.57;1525.29;1401.65;1696.00;1649.34;1995.70;0.00;0.00;;;;;;0;;;26/15;301215;301215;
B835-P.01;B835-P;1;;Truhlice masiv smrk;ZB;21;887.89;1.00;;;ks;1;1;0.00;1;0;0;15.00;0.06;0;1;;0;1;0;13.2.1.2;72;1564.50;1893.04;1674.02;2025.56;1861.98;2253.00;2190.08;2650.00;0.00;0.00;;;;;KOJE-EXPEDICE;15;;B;27/15;301215;301215;
B841-P.04;B841-P;4;;Skříň trojdveřová, posuvné dveře+zrcadlo;ZB;21;6015.79;1.00;;;ks;1;1;0.00;1;0;0;114.00;0.28;0;1;;0;1;0;13.2.2.2;72;8697.75;10524.28;9306.59;11260.97;10350.41;12524.00;12176.86;14734.00;0.00;0.00;;;;;;110;;B;27/15;301215;301215;
B860-B.04;B860-B;4;;Policový regál+3zásuvky smontowat;ZB;21;1587.59;4.00;;;ks;4;4;0.00;1;0;0;150.00;0.48;0;1;;0;1;0;13.2.2.2;72;2628.46;3180.44;2812.45;3403.06;3128.10;3785.00;3680.17;4453.01;0.00;0.00;;;;;;36;;B;27/15;301215;301215;
B865-P.01;B865-P;1;;Regál, masiv smrk, nožky koule;ZB;21;1434.78;1.00;;;ks;1;1;0.00;1;0;0;26.00;0.09;0;1;;0;1;0;13.2.2.2;72;2346.51;2839.28;2510.77;3038.03;2792.56;3379.00;3285.12;3975.00;0.00;0.00;pleca  kolor natur;REGAL - na kulach;;;expedice/koje;25;;B;27/15;301215;301215;
BABY-BAVL.PROST.04;BABY-BAVL.PROST;4;;Bavlněné  prostěradlo Medvídek Pú;ZB;21;169.00;1.00;;;ks;1;1;0.00;1;0;0;0.00;0.00;0;1;;0;1;0;;103;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;;;;;0;;;27/15;301215;301215;
BABY-POVLEČENÍ.04;BABY-POVLEČENÍ;4;;Dětské povlečení Medvídek Pú 140x200;ZB;21;345.01;1.00;;;ks;1;1;0.00;1;0;0;0.00;0.00;0;1;;0;1;0;;103;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;;;;;0;;;27/15;301215;301215;
BEN-003.04;BEN-003;4;;tulipán umělý;ZB;21;14.01;44.00;;;ks;44;44;0.00;1;0;0;0.00;0.00;0;1;;0;1;0;115;124;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;;;;prodejna,chodba,baza;0;;;27/15;301215;301215;
BEN-1016400.04;BEN-1016400;4;;proutěná ošatka s látkou 2 druhy;ZB;21;107.07;6.00;;;ks;6;6;0.00;1;0;0;0.00;0.00;0;1;;0;1;0;115;124;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;;;;prodejna,chodba,baza;0;;;27/15;301215;301215;
BEN-103400.04;BEN-103400;4;;drátěné koše s uchy - set 3 kusy;ZB;21;85.06;1.00;;;ks;1;1;0.00;1;0;0;0.00;0.00;0;1;;0;1;0;115;124;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;;;;prodejna,chodba,baza;0;;;27/15;301215;301215;
BEN-1049500.04;BEN-1049500;4;;stojan na šálky s podšálky 100 ml;ZB;21;262.17;2.00;;;ks;2;2;0.00;1;0;0;0.00;0.00;0;1;;0;1;0;115;124;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;;;;prodejna,chodba,baza;0;;;27/15;301215;301215;
BEN-1087900.04;BEN-1087900;4;;balící papír - červený mix 200x70cm;ZB;21;25.02;1.00;;;ks;1;1;0.00;1;0;0;0.00;0.00;0;1;;0;1;0;115;124;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;;;;prodejna,chodba,baza;0;;;27/15;301215;301215;
BEN-1094100A.04;BEN-1094100A;4;;závěsný kovový květník s pat. sada 3 kus;ZB;21;468.31;1.00;;;ks;1;1;0.00;1;0;0;0.00;0.00;0;1;;0;1;0;115;124;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;;;;prodejna,chodba,baza;0;;;27/15;301215;301215;
BEN-1192300A.04;BEN-1192300A;4;;kovový květník - nejmenší kulatý;ZB;21;105.07;1.00;;;ks;1;1;0.00;1;0;0;0.00;0.00;0;1;;0;1;0;115;124;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;;;;prodejna,chodba,baza;0;;;27/15;301215;301215;
BEN-1194600.04;BEN-1194600;4;;textilní fotorámeček 23x18cm;ZB;21;115.08;4.00;;;ks;4;4;0.00;1;0;0;0.00;0.00;0;1;;0;1;0;115;124;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;;;;prodejna,chodba,baza;0;;;27/15;301215;301215;
BEN-1215300.04;BEN-1215300;4;;svíčka 10x7 cm - menší;ZB;21;63.04;2.00;;;ks;2;2;0.00;1;0;0;0.00;0.00;0;1;;0;1;0;115;124;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;;;;prodejna,chodba,baza;0;;;27/15;301215;301215;
BEN-1215400.04;BEN-1215400;4;;svíčka 15x7 cm - větší;ZB;21;88.06;4.00;;;ks;4;4;0.00;1;0;0;0.00;0.00;0;1;;0;1;0;115;124;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;;;;prodejna,chodba,baza;0;;;27/15;301215;301215;
BEN-1237400B.04;BEN-1237400B;4;;bílá dřevěná lucerna - větší;ZB;21;299.20;5.00;;;ks;5;5;0.00;1;0;0;0.00;0.00;0;1;;0;1;0;115;124;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;;;;prodejna,chodba,baza;0;;;27/15;301215;301215;
BEN-1476000.04;BEN-1476000;4;;dřevěná tabule;ZB;21;168.11;1.00;;;ks;1;1;0.00;1;0;0;0.00;0.00;0;1;;0;1;0;115;124;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;;;;prodejna,chodba,baza;0;;;27/15;301215;301215;
BEN-2019500.04;BEN-2019500;4;;kufřík na bižuterii s ouškem;ZB;21;145.09;1.00;;;ks;1;1;0.00;1;0;0;0.00;0.00;0;1;;0;1;0;115;124;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;;;;prodejna,chodba,baza;0;;;27/15;301215;301215;
BEN-2023900.04;BEN-2023900;4;;polštář včetně výplně;ZB;21;175.11;4.00;;;ks;4;4;0.00;1;0;0;0.00;0.00;0;1;;0;1;0;115;124;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;;;;prodejna,chodba,baza;0;;;27/15;301215;301215;
BEN-2140500A.04;BEN-2140500A;4;;rámeček na fotografii- dřevěný menší;ZB;21;125.08;3.00;;;ks;3;3;0.00;1;0;0;0.00;0.00;0;1;;0;1;0;115;124;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;;;;prodejna,chodba,baza;0;;;27/15;301215;301215;
BEN-2140500B.04;BEN-2140500B;4;;rámeček na fotografii- dřevěný větší;ZB;21;145.09;3.00;;;ks;3;3;0.00;1;0;0;0.00;0.00;0;1;;0;1;0;115;124;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;;;;prodejna,chodba,baza;0;;;27/15;301215;301215;
BEN-2178800.04;BEN-2178800;4;;přikryvka/pléd 150x128 cm;ZB;21;277.18;1.00;;;ks;1;1;0.00;1;0;0;0.00;0.00;0;1;;0;1;0;115;124;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;;;;prodejna,chodba,baza;0;;;27/15;301215;301215;
BEN-2192600.04;BEN-2192600;4;;plechové dozy - sada 3 kusů;ZB;21;105.07;4.00;;;ks;4;4;0.00;1;0;0;0.00;0.00;0;1;;0;1;0;115;124;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;;;;prodejna,chodba,baza;0;;;27/15;301215;301215;
BEN-2229000.04;BEN-2229000;4;;tabule na křídu s okenicí;ZB;21;526.34;1.00;;;ks;1;1;0.00;1;0;0;0.00;0.00;0;1;;0;1;0;115;124;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;;;;prodejna,chodba,baza;0;;;27/15;301215;301215;
BEN-2252400.04;BEN-2252400;4;;drátěný stojánek na bižuterii 36 cm;ZB;21;198.13;1.00;;;ks;1;1;0.00;1;0;0;0.00;0.00;0;1;;0;1;0;115;124;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;;;;prodejna,chodba,baza;0;;;27/15;301215;301215;
BEN-2386100B.04;BEN-2386100B;4;;dekorační tác 45x16x3cm;ZB;21;135.09;1.00;;;ks;1;1;0.00;1;0;0;0.00;0.00;0;1;;0;1;0;115;124;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;;;;prodejna,chodba,baza;0;;;27/15;301215;301215;
BEN-24033.04;BEN-24033;4;;dekorace kovové srdce 31 cm;ZB;21;65.04;1.00;;;ks;1;1;0.00;1;0;0;0.00;0.00;0;1;;0;1;0;115;124;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;;;;prodejna,chodba,baza;0;;;27/15;301215;301215;
BEN-2754600.04;BEN-2754600;4;;držák na utěrky s poličkou;ZB;21;248.16;2.00;;;ks;2;2;0.00;1;0;0;0.00;0.00;0;1;;0;1;0;115;124;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;;;;prodejna,chodba,baza;0;;;27/15;301215;301215;
BEN-2768400.04;BEN-2768400;4;;Skleněný svícen 17x13 cm;ZB;21;118.08;6.00;;;ks;6;6;0.00;1;0;0;0.00;0.00;0;1;;0;1;0;115;124;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;;;;prodejna,chodba,baza;0;;;27/15;301215;301215;
BEN-2787400.04;BEN-2787400;4;;odpadkový koš;ZB;21;165.11;1.00;;;ks;1;1;0.00;1;0;0;0.00;0.00;0;1;;0;1;0;115;124;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;;;;prodejna,chodba,baza;0;;;27/15;301215;301215;
BEN-2942800.04;BEN-2942800;4;;stojan na talíře 45 cm;ZB;21;235.15;2.00;;;ks;2;2;0.00;1;0;0;0.00;0.00;0;1;;0;1;0;115;124;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;;;;prodejna,chodba,baza;0;;;27/15;301215;301215;
BEN-2944900.04;BEN-2944900;4;;plechové svícny se srdcem sada 2 kusů;ZB;21;156.10;1.00;;;ks;1;1;0.00;1;0;0;0.00;0.00;0;1;;0;1;0;115;124;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;;;;prodejna,chodba,baza;0;;;27/15;301215;301215;
BEN-2F0151.04;BEN-2F0151;4;;rámeček na fotografii;ZB;21;139.09;3.00;;;ks;3;3;0.00;1;0;0;0.00;0.00;0;1;;0;1;0;115;124;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;;;;prodejna,chodba,baza;0;;;27/15;301215;301215;
BEN-4074100.04;BEN-4074100;4;;dřevěný svícen s mašlí;ZB;21;69.05;5.00;;;ks;5;5;0.00;1;0;0;0.00;0.00;0;1;;0;1;0;115;124;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;;;;prodejna,chodba,baza;0;;;27/15;301215;301215;
BEN-4074100.04;BEN-4074100;4;;dřevěný svícen s mašlí;ZB;21;69.05;-1.00;;;ks;-1;-1;0.00;1;0;0;0.00;0.00;5;1;;0;1;0;115;124;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;;;;prodejna,chodba,baza;0;;;60/16;300616;300616;
